Date,Transaction type,Description,Paid out,Paid in,Balance
2015-10-05,Visa purchase,BILLS BERKHAMSTED BERKHAMSTED GB 0000,£10.00,,"£1,349.15"
2015-10-06,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£14.63,,"£1,334.52"
2015-10-07,ATM Withdrawal LINK,ATM Withdrawal LINK,£10.00,,"£1,324.52"
2015-10-08,ATM Withdrawal LINK,ATM Withdrawal LINK,£10.00,,"£1,314.52"
2015-10-09,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£262.69,"£1,577.21"
2015-10-09,Standing order,SQUIRE ESTATES,£500.00,,"£1,077.21"
2015-10-09,Visa purchase MICROSOFT *XBOXLIVE,MICROSOFT *XBOXLIVE 0800 587 1102 IE 0000,£14.99,,"£1,062.22"
2015-10-09,Visa purchase,WAITROSE 223 BERKHAMSTED GB 0000,£9.99,,"£1,052.23"
2015-10-09,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£10.00,,"£1,042.23"
2015-10-09,Visa purchase,ZERO BERKHAMSTED GB 0000,£18.00,,"£1,024.23"
2015-10-12,Visa purchase SPOTIFY SPOTIFY PREMIU,SPOTIFY SPOTIFY PREMIU LONDON GB 0000,£9.99,,"£1,014.24"
2015-10-12,Visa purchase,CLINTONS 81 BERKHAMSTED GB 0000,£3.00,,"£1,011.24"
2015-10-12,Visa purchase,BILLS BERKHAMSTED BERKHAMSTED GB 0000,£16.79,,£994.45
2015-10-13,Visa purchase,GOOGLE *UDEMY INC GOOGLE.COM/CH GB 0000,£11.87,,£982.58
2015-10-14,Direct debit VIRGIN MEDIA PYMTS,VIRGIN MEDIA PYMTS,£38.99,,£943.59
2015-10-14,Visa purchase,ITUNES.COM/BILL ITUNES.COM LU 0000,£29.99,,£913.60
2015-10-16,ATM Withdrawal LINK,Withdrawal 15 October 2015,£10.00,,£903.60
2015-10-16,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£336.91,"£1,240.51"
2015-10-16,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£6.04,,"£1,234.47"
2015-10-17,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£5.34,,"£1,229.13"
2015-10-17,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£10.87,,"£1,218.26"
2015-10-19,Direct debit EE & T-MOBILE,EE & T-MOBILE,£29.03,,"£1,189.23"
2015-10-19,Visa purchase,NOWTV.COM/BILLINGHELP SKY GB 0000,£6.99,,"£1,182.24"
2015-10-19,Visa purchase,BILLS BERKHAMSTED BERKHAMSTED GB 0000,£34.43,,"£1,147.81"
2015-10-19,Visa purchase,WAITROSE 223 BERKHAMSTED GB 0000,£7.03,,"£1,140.78"
2015-10-19,Visa purchase,BILLS BERKHAMSTED BERKHAMSTED GB 0000,£25.52,,"£1,115.26"
2015-10-19,ATM Withdrawal LINK,ATM Withdrawal LINK,£10.00,,"£1,105.26"
2015-10-20,Visa purchase,"BOOTS,BERKHAMSTED BERKHAMSTED GB 0000",£4.89,,"£1,100.37"
2015-10-20,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,"£1,096.70"
2015-10-21,Visa purchase,TESCO STORES 3343 WARNERS END GB 0000,£5.60,,"£1,091.10"
2015-10-21,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£11.71,,"£1,079.39"
2015-10-22,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£10.00,,"£1,069.39"
2015-10-22,ATM Withdrawal LINK,ATM Withdrawal LINK,£20.00,,"£1,049.39"
2015-10-23,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£40.80,"£1,090.19"
2015-10-23,Visa purchase,GOOGLE *ZeptoLab GOOGLE.COM/CH GB 0000,£3.29,,"£1,086.90"
2015-10-23,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,"£1,083.23"
2015-10-23,Visa purchase NETFLIX.COM,NETFLIX.COM 0800 096 6380 LU 0000,£5.99,,"£1,077.24"
2015-10-24,ATM Withdrawal LINK,ATM Withdrawal LINK,£10.00,,"£1,067.24"
2015-10-24,Visa purchase,GOOGLE *Hindsight Labs GOOGLE.COM/CH GB 0000,£3.17,,"£1,064.07"
2015-10-26,Visa purchase,ZERO BERKHAMSTED GB 0000,£17.50,,"£1,046.57"
2015-10-26,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£12.87,,"£1,033.70"
2015-10-26,Visa purchase,TESCO STORES 3343 WARNERS END GB 0000,£16.32,,"£1,017.38"
2015-10-27,Visa purchase,PRIMARK WATFORD GB 0000,£34.00,,£983.38
2015-10-28,Visa purchase,MCDONALDS HEMEL HEMPSTE GB 0000,£9.48,,£973.90
2015-10-29,Direct debit SPECSAVERS FINANCE,SPECSAVERS FINANCE,£13.00,,£960.90
2015-10-29,Visa purchase,ODEON/BOOKIT AYLESBURY GB 0000,£23.50,,£937.40
2015-10-29,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,£933.73
2015-10-30,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£437.56,"£1,371.29"
2015-10-30,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,"£1,367.62"
2015-10-30,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£13.14,,"£1,354.48"
2015-10-30,Visa purchase,V2CIGS VAPOUR2 UK 441733555555 GB 0000,£39.70,,"£1,314.78"
2015-10-31,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,"£1,311.11"
2015-11-02,ATM Withdrawal LINK,Withdrawal 31 October 2015,£30.00,,"£1,281.11"
2015-11-02,Direct debit VIRGIN MONEY,VIRGIN MONEY,£50.00,,"£1,231.11"
2015-11-02,ATM Withdrawal LINK,ATM Withdrawal LINK,£100.00,,"£1,131.11"
2015-11-02,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£16.00,,"£1,115.11"
2015-11-02,Visa purchase,BILLS BERKHAMSTED BERKHAMSTED GB 0000,£23.98,,"£1,091.13"
2015-11-03,Direct debit DACORUM SPORTS TST,DACORUM SPORTS TST,£41.00,,"£1,050.13"
2015-11-05,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£8.50,,"£1,041.63"
2015-11-05,ATM Withdrawal LINK,ATM Withdrawal LINK,£20.00,,"£1,021.63"
2015-11-06,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£205.00,"£1,226.63"
2015-11-09,Standing order,SQUIRE ESTATES,£500.00,,£726.63
2015-11-09,Visa purchase,CROWN BERKHAMSTED GB 0000,£16.45,,£710.18
2015-11-09,Visa purchase,TESCO STORES 3343 HEMEL HEMPSTE GB 0000,£1.50,,£708.68
2015-11-09,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£13.69,,£694.99
2015-11-11,Visa purchase,WWW.MOONPIG.COM LTD LONDON SE1 GB 0000,£3.94,,£691.05
2015-11-11,Visa purchase,CO-OP GROUP 180260 Warners End GB 0000,£3.81,,£687.24
2015-11-11,Visa purchase SPOTIFY SPOTIFY PREMIU,SPOTIFY SPOTIFY PREMIU LONDON GB 0000,£9.99,,£677.25
2015-11-11,Visa purchase,PLAYSTATIONNETWORK INTERNET GB 0000,£49.99,,£627.26
2015-11-11,ATM Withdrawal LINK,ATM Withdrawal LINK,£20.00,,£607.26
2015-11-12,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£2.00,,£605.26
2015-11-13,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£335.83,£941.09
2015-11-13,Visa purchase,MCDONALDS HEMEL HEMPSTE GB 0000,£14.76,,£926.33
2015-11-14,ATM Withdrawal LINK,Withdrawal 13 November 2015,£20.00,,£906.33
2015-11-14,Visa purchase,SHELL DACORUM HEMEL HEMPSTE GB 0000,£15.02,,£891.31
2015-11-16,Direct debit VIRGIN MEDIA PYMTS,VIRGIN MEDIA PYMTS,£38.99,,£852.32
2015-11-16,Visa purchase,ITUNES.COM/BILL ITUNES.COM LU 0000,£19.99,,£832.33
2015-11-16,Visa purchase,H&M HEMEL HEMPSTE GB 0000,£43.03,,£789.30
2015-11-16,Visa purchase,TESCO STORE 2089 BERKHAMSTED GB 0000,£20.10,,£769.20
2015-11-17,Visa purchase,PAYPAL *FIVERR COM 4029357733 IL 0000,£3.73,,£765.47
2015-11-17,Visa purchase,GREGGS - S0987 HEMEL H'STEAD GB 0000,£2.00,,£763.47
2015-11-17,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£4.19,,£759.28
2015-11-17,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£20.66,,£738.62
2015-11-17,Visa purchase SNUSLINE,SNUSLINE BET SHEMESH IL 31.900000 EUR at 1.41275 0000,£22.58,,£716.04
2015-11-17,Non-Sterling transaction fee,Non-Sterling transaction fee,£0.45,,£715.59
2015-11-18,Direct debit EE & T-MOBILE,EE & T-MOBILE,£28.78,,£686.81
2015-11-18,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£2.80,,£684.01
2015-11-18,Visa purchase,TESCO STORES 3343 HEMEL HEMPSTE GB 0000,£3.84,,£680.17
2015-11-18,Visa purchase NOWTV.COM/BILLINGHELP,NOWTV.COM/BILLINGHELP SKY GB 0000,£6.99,,£673.18
2015-11-18,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£9.57,,£663.61
2015-11-19,ATM Withdrawal LINK,ATM Withdrawal LINK,£20.00,,£643.61
2015-11-20,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£220.20,£863.81
2015-11-20,Visa purchase,TESCO STORES 3343 HEMEL HEMPSTE GB 0000,£0.90,,£862.91
2015-11-20,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£5.32,,£857.59
2015-11-20,Visa purchase,TESCO STORES 6446 HERTFORDSHIRE GB 0000,£11.56,,£846.03
2015-11-23,ATM Withdrawal LINK,Withdrawal 22 November 2015,£20.00,,£826.03
2015-11-23,Visa purchase,MCDONALDS HEMEL HEMPSTE GB 0000,£10.68,,£815.35
2015-11-23,Visa purchase,TESCO STORES 3343 HEMEL HEMPSTE GB 0000,£5.00,,£810.35
2015-11-23,Visa purchase,BILLS BERKHAMSTED BERKHAMSTED GB 0000,£26.62,,£783.73
2015-11-23,Visa purchase NETFLIX.COM,NETFLIX.COM 0800 096 6380 NL 0000,£5.99,,£777.74
2015-11-23,Visa purchase,MCDONALDS HEMEL HEMPSTE GB 0000,£12.97,,£764.77
2015-11-25,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£2.80,,£761.97
2015-11-25,Visa purchase,TESCO STORES 3343 WARNERS END GB 0000,£12.14,,£749.83
2015-11-25,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£21.84,,£727.99
2015-11-26,ATM Withdrawal LINK,Withdrawal 25 November 2015,£20.00,,£707.99
2015-11-27,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£261.95,£969.94
2015-11-27,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£24.86,,£945.08
2015-11-27,Visa purchase,A&N MEDIA FINANCE SERV LEICESTER GB 0000,£54.90,,£890.18
2015-11-28,Visa purchase,NCP LIMITED P&D MILTON KEYNES GB 0000,£4.00,,£886.18
2015-11-28,Visa purchase,NCP LIMITED P&D MILTON KEYNES GB 0000,£9.00,,£877.18
2015-11-28,Visa purchase,CROWN BERKHAMSTED GB 0000,£14.30,,£862.88
2015-11-28,Visa purchase,Amazon UK Retail AMAZON.CO.UK LU 0000,£15.89,,£846.99
2015-11-28,Visa purchase,HOUSE OF FRASER MILTON KEYNES GB 0000,£25.05,,£821.94
2015-11-28,Visa purchase,HOUSE OF FRASER MILTON KEYNES GB 0000,£26.10,,£795.84
2015-11-28,Visa purchase,THE BODY SHOP MILTON KEYNES GB 0000,£34.05,,£761.79
2015-11-28,Visa purchase,YO! SUSHI MILTON KEYNES GB 0000,£34.20,,£727.59
2015-11-30,ATM Withdrawal LINK,Withdrawal 29 November 2015,£30.00,,£697.59
2015-11-30,Direct debit SPECSAVERS FINANCE,SPECSAVERS FINANCE,£13.00,,£684.59
2015-11-30,Visa purchase,FISHERY INN HEMEL HEMPSTE GB 0000,£52.65,,£631.94
2015-11-30,Visa purchase,EMPIRECINEMAS.CO.U 0844 8846740 GB 0000,£6.65,,£625.29
2015-11-30,Visa purchase,COSTA COFFEE BERKHAMSTED 2 GB 0000,£9.75,,£615.54
2015-11-30,Visa purchase,EMPIRECINEMAS.CO.U 0844 8846740 GB 0000,£17.30,,£598.24
2015-12-01,Direct debit VIRGIN MONEY,VIRGIN MONEY,£50.00,,£548.24
2015-12-01,Visa purchase,SAINSBURYS S/MKTS APSLEY MILLS GB 0000,£5.75,,£542.49
2015-12-01,Visa purchase,SHELL REDBOURN 006 ST ALBANS GB 0000,£10.01,,£532.48
2015-12-01,Visa purchase,M&S E COMMERCE ..... GB 0000,£66.49,,£465.99
2015-12-02,Visa Credit,M&S E COMMERCE ..... GB,,£66.49,£532.48
2015-12-02,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,£528.81
2015-12-02,Visa purchase,PIZZA EXPRESS BERKHAMSTED 1 GB 0000,£43.85,,£484.96
2015-12-03,ATM Withdrawal LINK,ATM Withdrawal LINK,£80.00,,£404.96
2015-12-03,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.40,,£401.56
2015-12-03,Visa purchase,Amazon UK Marketplace 800-279-6620 LU 0000,£5.54,,£396.02
2015-12-03,Visa purchase,AMT COFFEE ST ALBANS 136 GB 0000,£5.80,,£390.22
2015-12-03,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£23.13,,£367.09
2015-12-04,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£254.34,£621.43
2015-12-05,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.35,,£618.08
2015-12-05,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£4.72,,£613.36
2015-12-07,Visa purchase,MCDONALDS HEMEL HEMPSTE GB 0000,£8.06,,£605.30
2015-12-09,Standing order,SQUIRE ESTATES,£500.00,,£105.30
2015-12-09,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£5.62,,£99.68
2015-12-09,Visa purchase,"Amazon Svcs Europe,SAR AMAZON.CO.UK LU 0000",£6.99,,£92.69
2015-12-10,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,£89.02
2015-12-10,Visa purchase,TESCO STORES 3343 HEMEL HEMPSTE GB 0000,£9.05,,£79.97
2015-12-11,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£259.49,£339.46
2015-12-11,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£4.45,,£335.01
2015-12-11,Visa purchase,ASDA STORES LTD HEMEL HEMPSTE GB 0000,£5.54,,£329.47
2015-12-11,Visa purchase SPOTIFY SPOTIFY PREMIU,SPOTIFY SPOTIFY PREMIU LONDON GB 0000,£9.99,,£319.48
2015-12-11,Visa purchase,FUNKYPIGEON.COM SWINDON GB 0000,£13.74,,£305.74
2015-12-12,ATM Withdrawal LINK,ATM Withdrawal LINK,£30.00,,£275.74
2015-12-12,Visa purchase,TESCO STORES 6446 HEMEL HEMPSTE GB 0000,£5.93,,£269.81
2015-12-12,ATM Withdrawal LINK,ATM Withdrawal LINK,£30.00,,£239.81
2015-12-14,Direct debit VIRGIN MEDIA PYMTS,VIRGIN MEDIA PYMTS,£38.99,,£200.82
2015-12-14,Visa purchase,TESCO STORES-2089 BERKHAMSTED GB 0000,£8.13,,£192.69
2015-12-14,Visa purchase,EMPIRE CINEMAS HEMEL HEMPSTE GB 0000,£6.80,,£185.89
2015-12-15,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.69,,£182.20
2015-12-16,Visa purchase,PRIMARK HEMEL HEMPSTE GB 0000,£14.00,,£168.20
2015-12-17,Direct debit EE & T-MOBILE,EE & T-MOBILE,£29.24,,£138.96
2015-12-17,Transfer from,SUNDRIES Credit 15 December 2015,,£500.00,£638.96
2015-12-17,ATM Withdrawal SANTANDER,ATM Withdrawal SANTANDER,£50.00,,£588.96
2015-12-18,Bank credit NHS PROF 75219,Bank credit NHS PROF 75219,,£363.74,£952.70
2015-12-18,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£1.65,,£951.05
2015-12-18,Visa purchase,DELIMARCHE ST ALBANS GB 0000,£3.67,,£947.38
